"","X","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"135",173,20100159,18664,2010,"6/30/2010 6:45 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","ANHYDROUS AMMONIA PIPELINE ","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","LANGDON","RENO","KS",37.84074,-98.41963,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",2,0,0,2,"NO","NO","NO","","",0,0,8000,152,5000,0,55000,0,68152
"138",176,20100160,17712,2010,"7/4/2010 12:15 PM",18718,"SUNOCO PIPELINE L.P.","DRUMRIGHT STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","DRUMRIGHT","CREEK","OK",36.00943,-96.55946,"CORROSION","INTERNAL",1,0,0.6,0.4,"NO","NO","YES","7/12/2010 6:30","7/23/2010 13:40",0,0,19342,69,0,10000,0,0,29411
"139",177,20100163,16455,2010,"7/5/2010 10:40 AM",3445,"DIXIE PIPELINE","DIXIE PIPELINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","THOMSON","MCDUFFIE","GA",33.53866,-82.53516,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",3104,0,0,3104,"YES","YES","YES","7/5/2010 10:52","7/10/2010 11:52",1,0,345058,130124,0,49093,0,0,524275
"140",178,20120331,18714,2010,"7/6/2010 8:30 AM",32602,"OXY USA INC","CSFM #1105/SANSINENA","ONSHORE","UNDERGROUND","CRUDE OIL","","","LA HABRA HEIGHTS ","LOS ANGELES ","CA",33.956,-117.884167,"CORROSION","INTERNAL",9,0,9,0,"NO","NO","YES","7/6/2010 9:00","7/8/2010 11:00",0,0,3000,900,0,10000,0,0,13900
"143",181,20100165,15285,2010,"7/8/2010 3:20 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","MORGANS POINT TO TEXAS OLEFINS #3","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","PASADENA","HARRIS","TX",29.62478,-95.09823,"ALL OTHER CAUSES","MISCELLANEOUS",7.52,980,0,7.52,"NO","NO","YES","7/8/2010 15:20","7/12/2010 16:00",0,0,173000,75917,0,12400,362809.440258342,0,261317
"144",183,20100174,18363,2010,"7/12/2010 10:40 AM",4906,"EXXONMOBIL PIPELINE CO","TEXOMA  TANK FARM","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG","TX",32.28594,-94.500617,"CORROSION","INTERNAL",0.48,0,0.48,0,"NO","NO","NO","","",0,0,1500,35,0,6000,1500,1000,10035
"153",194,20100179,15904,2010,"7/23/2010 2:05 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","ANHYDROUS AMMONIA PIPELINE ","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","PICKRELL","GAGE","NE",40.36468,-96.65431,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.36,0.12,0,0.36,"NO","NO","NO","","",9,0,113311,50,2500,41800,5000,500,163161
"155",198,20100184,15264,2010,"7/28/2010 7:45 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 1","ONSHORE","UNDERGROUND","CRUDE OIL","","","CASS LAKE","CASS","MN",47.372103,-94.57539,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.23,0,0.23,0,"NO","NO","YES","7/28/2010 8:00","7/28/2010 17:45",0,0,0,0,0,3500,14852,0,18352
"157",200,20100185,18597,2010,"7/29/2010 1:30 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 2 ","ONSHORE","UNDERGROUND","CRUDE OIL","","","CASS LAKE","CASS","MN",47.38361,-94.63389,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",155,0,155,0,"NO","NO","NO","","",0,0,50000,5600,0,84000,690400,0,830000
"158",201,20100186,20028,2010,"7/29/2010 4:30 PM",31476,"SEMGROUP LP","CUNNINGHAM 12""","ONSHORE","UNDERGROUND","CRUDE OIL","","","HAVEN","RENO COUNTY","KS",37.8875,-97.90877,"CORROSION","INTERNAL",20,0,12,8,"NO","NO","NO","","",0,0,2150,850,5000,2000,35000,0,45000
"160",203,20100189,17834,2010,"8/2/2010 8:35 PM",31666,"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC","FOUNTAIN TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","FOUNTAIN","EL PASO","CO",38.66916,-104.70138,"NATURAL FORCE DAMAGE","LIGHTNING",0.16,0,0.16,0,"NO","NO","YES","8/2/2010 20:35","8/30/2010 14:00",0,0,0,17,0,550,0,0,567
"163",206,20100187,15335,2010,"8/5/2010 2:00 PM",12470,"MID - VALLEY PIPELINE CO","MAUMEE SYSTEM","ONSHORE","UNDERGROUND","CRUDE OIL","","","OREGON","LUCAS","OH",41.6234,-83.4878,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",1,0,0,1,"NO","NO","YES","8/5/2010 14:50","8/6/2010 14:37",0,0,6709,79,0,3790,10660,0,21238
"165",208,20100183,19349,2010,"8/5/2010 7:38 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","WYNNEWOOD TO OKC","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PAOLI","GARVIN","OK",34.82512,-97.18992,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",320,0,320,0,"NO","NO","YES","8/5/2010 19:38","8/7/2010 8:55",0,0,80000,30300,0,45000,85000,0,240300
"168",212,20100195,18143,2010,"8/12/2010 5:00 PM",31189,"BP PIPELINE (NORTH AMERICA) INC.","MONT BELVIEW-BAYPORT 191 CHEMICAL GRADE PROPYLENE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPYLENE","LAPORTE","HARRIS","TX",29.66904,-95.05733,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3,0,0,3,"NO","NO","NO","","",0,0,220000,25600,0,50000,0,0,295600
"171",218,20100263,17850,2010,"8/19/2010 11:35 PM",26094,"NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.","ST JAMES TERMINAL 40"" CAPLINE ","ONSHORE","UNDERGROUND","CRUDE OIL","","","ST. JAMES","ST. JAMES","LA",30.02609,-90.85108,"CORROSION","INTERNAL",0.6,0,0.6,0,"NO","NO","NO","","",0,0,0,0,0,0,28500,0,28500
"173",220,20100190,17282,2010,"8/20/2010 9:45 AM",15774,"ENBRIDGE PIPELINES (NORTH DAKOTA) LLC","SHERWOOD STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","SHERWOOD","RENVILLE","ND",48.96572,-101.65116,"CORROSION","INTERNAL",0.38,0,0.38,0,"NO","NO","YES","8/20/2010 10:00","8/20/2010 15:00",0,0,0,25,0,0,0,11000,11025
"174",221,20100188,17708,2010,"8/22/2010 7:00 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.06839,-96.47081,"CORROSION","INTERNAL",100,0,2,98,"NO","NO","NO","","",0,0,0,6860,0,46829,344350,0,398039
"176",224,20100207,15303,2010,"8/25/2010 1:30 PM",32246,"LDH ENERGY MONT BELVIEU L.P.","LDH ENERGY MONT BELVIEU SOUTH TERMINAL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MONT BELVIEU","CHAMBERS","TX",29.847028,-94.897099,"EXCAVATION DAMAGE","OPERATOR/CONTRACTOR EXCAVATION DAMAGE",6,0,0,6,"NO","NO","YES","8/25/2010 13:30","8/25/2010 17:30",0,0,4820,180,0,0,0,0,5000
"180",228,20100220,15823,2010,"8/27/2010 4:30 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","P-41","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","GILBOA","SCHOHARIE","NY",42.46833,-74.3515,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",3283,0,0,3283,"NO","NO","YES","8/27/2010 17:00","2/2/2011 13:35",23,0,1441000,145332,62100,163324,0,0,1811756
"184",232,20100205,15301,2010,"9/3/2010 9:45 AM",9175,"JAYHAWK PIPELINE LLC","","ONSHORE","UNDERGROUND","CRUDE OIL","","","HUGOTON ","STEVENS","KS",37.08414,-101.32146,"CORROSION","INTERNAL",2,0,0,2,"NO","NO","YES","9/3/2010 10:10","9/3/2010 18:50",0,0,0,120,500,2000,1500,0,4120
"185",233,20100212,21563,2010,"9/5/2010 4:56 AM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","ENID LATERAL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","","GRANT","OK",36.810495,-97.831946,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",0.71,0,0,0.71,"NO","NO","NO","","",0,0,0,60,0,20000,25000,0,45060
"193",242,20100221,20596,2010,"9/9/2010 11:30 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 6A","ONSHORE","UNDERGROUND","CRUDE OIL","","","ROMEOVILLE","WILL","IL",41.655265,-88.076523,"OTHER OUTSIDE FORCE DAMAGE","OTHER OUTSIDE FORCE DAMAGE",7538,0,7538,0,"NO","NO","YES","9/9/2010 12:28","9/17/2010 9:50",470,0,2810324,70000,12233787,12146232,16538963,3594260,47393566
"194",243,20100223,15467,2010,"9/11/2010 8:55 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 6B","ONSHORE","UNDERGROUND","CRUDE OIL","","","FOWLERVILLE","LIVINGSTON","MI",42.56794,-84.10547,"INCORRECT OPERATION","DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR",0.24,0,0.24,0,"NO","NO","NO","","",0,0,20000,0,0,2500,2500,0,25000
"196",247,20100225,15432,2010,"9/16/2010 9:30 AM",18718,"SUNOCO PIPELINE L.P.","TEXAS PLAINS SYSTEM","ONSHORE","UNDERGROUND","CRUDE OIL","","","ANSON","JONES","TX",32.71141,-99.81866,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.5,0,0,0.5,"NO","NO","NO","","",0,0,16967,35,0,1863,0,0,18865
"197",248,20100222,15358,2010,"9/16/2010 1:20 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","EAST LEG BLUE LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPANE","WYOMING","JONES","IA",42.02244,-91.00488,"ALL OTHER CAUSES","MISCELLANEOUS",1.7,968.3,0,1.7,"NO","NO","YES","9/16/2010 13:41","9/19/2010 13:00",0,0,65520,46036,4800,0,0,0,116356
"199",251,20100228,15871,2010,"9/17/2010 1:45 PM",2731,"CHEVRON PIPE LINE CO","EAST FEEDSTOCK SYSTEM","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ETHANE/PROPANE MIX","PT. ARTHUR","JEFFERSON","TX",29.920836,-94.020288,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",87,0,0,87,"NO","NO","YES","9/17/2010 14:10","9/18/2010 15:00",0,0,45000,5250,0,10000,0,0,60250
"201",253,20100232,15519,2010,"9/22/2010 7:40 AM",22442,"WEST TEXAS GULF PIPELINE CO","SOUR LAKE CITGO JUNCTION ","ONSHORE","UNDERGROUND","CRUDE OIL","","","SOUR LAKE","HARDIN","TX",30.1479,-94.4001,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",2,0,0,2,"NO","NO","YES","9/22/2010 8:00","9/22/2010 13:00",0,0,10431,142,0,7872,2639,0,21084
"205",257,20100236,17704,2010,"9/28/2010 1:46 PM",18718,"SUNOCO PIPELINE L.P.","HEBERT STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BEAUMONT","JEFFERSON","TX",29.98219,-94.06028,"EXCAVATION DAMAGE","OPERATOR/CONTRACTOR EXCAVATION DAMAGE",0.24,0,0.24,0,"NO","NO","YES","9/28/2010 13:55","9/28/2010 14:00",0,0,500,20,0,0,500,0,1020
"208",260,20100239,17363,2010,"10/6/2010 1:20 PM",18718,"SUNOCO PIPELINE L.P.","MARYSVILLE STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","ST. CLAIR","ST. CLAIR","MI",42.9015,-82.5101,"CORROSION","EXTERNAL",1,0,1,0,"NO","NO","NO","","",0,0,0,0,0,70000,5000,0,75000
"211",264,20100241,16556,2010,"10/11/2010 4:10 PM",7063,"HARBOR PIPELINE CO","HARBOR PIPELINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","MANSFIELD TOWNSHIP","BURLINGTON     ","NJ",40.091758,-74.738542,"INCORRECT OPERATION","OTHER INCORRECT OPERATION",0,0,0,0,"YES","NO","NO","","",0,0,0,0,0,0,0,0,0
"212",266,20100252,15697,2010,"10/23/2010 1:00 AM",2731,"CHEVRON PIPE LINE CO","WEST TEXAS LPG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","SANTO","PALO PINTO","TX",32.6075,-98.1,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",6.2,0,0,6.2,"NO","NO","","","",0,0,0,150,0,5000,0,24000,29150
"215",270,20100246,15612,2010,"11/1/2010 2:55 PM",32109,"ONEOK NGL PIPELINE LP","STERLING 1 INDEX 10177","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","WHITEWRIGHT","FANNIN","TX",33.54657,-96.36906,"CORROSION","EXTERNAL",241,0,0,241,"NO","NO","YES","11/1/2010 16:25","11/6/2010 9:30",0,0,244000,6358,0,0,0,0,250358
"217",272,20100249,18417,2010,"11/2/2010 9:00 AM",2552,"COLONIAL PIPELINE CO","HEBERT STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","BEAUMONT","JEFFERSON","TX",29.975,-94.056,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",3.57,0,3.57,0,"NO","NO","","","",0,0,10000,350,0,24650,0,0,35000
"218",273,20100251,18418,2010,"11/3/2010 11:00 AM",2552,"COLONIAL PIPELINE CO","NORTH PORT ARTHUR STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PORT ARTHUR","JEFFERSON","TX",29.90801,-94.01201,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",3.36,0,3.36,0,"NO","NO","","","",0,0,15670,330,0,5000,0,0,21000
"219",275,20100305,15465,2010,"11/4/2010 2:00 PM",300,"PLAINS PIPELINE, L.P.","FOSTER GATHERING","ONSHORE","UNDERGROUND","CRUDE OIL","","","ODESSA","ECTOR","TX",31.8768505,-102.4564661,"CORROSION","EXTERNAL",0.5,0,0.5,0,"NO","NO","YES","11/4/2010 15:15","11/4/2010 16:00",0,0,5000,40,0,2500,1000,0,8540
"222",279,20100276,18419,2010,"11/8/2010 11:15 AM",2552,"COLONIAL PIPELINE CO","COLONIAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","CROSBY","","TX",29.85836,-94.97929,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.48,0,0.36,0.12,"NO","NO","NO","","",0,0,49955,45,0,0,0,30000,80000
"223",280,20100288,19282,2010,"11/9/2010 7:19 AM",31476,"SEMGROUP LP","CUNNINGHAM 12""","ONSHORE","UNDERGROUND","CRUDE OIL","","","HAVEN","RENO COUNTY","KS",37.89533,-97.88435,"CORROSION","INTERNAL",95,0,90,5,"NO","NO","YES","11/9/2010 7:22","11/9/2010 9:03",0,0,10000,450,26500,5000,50000,0,91950
"227",284,20100258,16106,2010,"11/11/2010 1:00 PM",31610,"BP WEST COAST PRODUCTS L.L.C.","LINE E-31A","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","SIGNAL HILL","LOS ANGELES","CA",33.811699,-118.180656,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",120,0,41,79,"NO","NO","NO","","",0,0,250000,15000,0,230000,270000,0,765000
"228",285,20100290,15722,2010,"11/12/2010 9:48 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","#6-12"" ROSEMOUNT TO WILLMAR LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","SAVAGE","SCOTT","MN",44.77328,-93.35844,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",48,0,48,0,"NO","NO","","","",0,0,33000,500,0,1e+05,260000,0,393500
"231",289,20100299,18173,2010,"11/15/2010 6:20 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","WEST LEG ANHYDROUS AMMONIA SYSTEM","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","EARLY","SAC","IA",42.5325,-95.1332,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",8.62,0,0,8.62,"NO","NO","YES","11/15/2010 18:20","11/17/2010 15:00",0,0,25000,650,500,10000,31281,0,67431
"234",292,20110094,17593,2010,"11/16/2010 1:40 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","MAPCO HOBBS JCT TO MAPCO HOBS STATION","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","Y-GRADE","SEMINOLE","GAINES","TX",32.75732,-102.90678,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",25,0,0,25,"NO","NO","YES","","",0,0,20000,20000,0,5000,0,0,45000
"236",295,20100294,16186,2010,"11/20/2010 1:15 AM",18718,"SUNOCO PIPELINE L.P.","AMDEL 10""","ONSHORE","UNDERGROUND","CRUDE OIL","","","NEW WAVERLY","WALKER","TX",30.5572,-95.5842,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",100,0,0,100,"NO","NO","YES","11/20/2010 1:15","11/1/2011 9:45",0,0,82987,8500,0,212385,134188,0,438060
"239",299,20100309,17396,2010,"11/23/2010 6:00 AM",2731,"CHEVRON PIPE LINE CO","SIGNA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","TAFT","","CA",35.119174,-119.378251,"CORROSION","INTERNAL",0.76,0,0.76,0,"NO","NO","YES","11/23/2010 6:00","12/23/2010 0:00",0,0,5000,65,0,0,0,0,5065
"243",304,20100312,15808,2010,"11/27/2010 3:00 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","MILLERSBURG","IOWA","IA",41.60865,-92.13573,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",2.3,0,0,2.3,"NO","NO","YES","11/27/2010 15:15","12/2/2010 8:00",0,0,27700,160,0,0,3150,0,31010
"251",313,20100315,22011,2010,"12/2/2010 7:15 PM",1845,"BUCKEYE PARTNERS, LP","SAUGET TO DUPO 162 LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","NEW DOUGLAS","MADISON","IL",38.94905,-89.75185,"OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",500,0,10.3,489.7,"NO","NO","YES","12/2/2010 19:50","12/9/2010 22:10",0,0,188580,50000,0,666080,3804906,0,4709566
"252",315,20100316,18092,2010,"12/4/2010 10:30 AM",18718,"SUNOCO PIPELINE L.P.","KILGORE 10""","ONSHORE","UNDERGROUND","CRUDE OIL","","","LIVINGSTON","POLK","TX",30.81167,-94.76787,"CORROSION","INTERNAL",75,0,30,45,"NO","NO","YES","12/4/2010 10:40","12/4/2010 21:00",0,0,21778,3825,0,28546,101191,0,155340
"253",317,20100313,15481,2010,"12/5/2010 1:00 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","NORTH ENGLISH","IOWA","IA",41.51718,-92.00372,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.98,0,0,0.98,"NO","NO","YES","12/5/2010 13:15","12/7/2010 11:00",0,0,0,66,0,0,1800,0,1866
"257",322,20110266,15959,2010,"12/6/2010 1:00 PM",26303,"UNOCAL PIPELINE CO - EASTERN REGION","VAN GATHERING ","ONSHORE","UNDERGROUND","CRUDE OIL","","","VAN","VAN ZANDT","TX",32.540604,-95.701173,"CORROSION","EXTERNAL",3,0,3,0,"NO","NO","YES","12/6/2010 13:15","",0,0,15000,0,0,2e+05,35000,0,250000
"261",327,20100292,20387,2010,"12/9/2010 4:17 PM",32109,"ONEOK NGL PIPELINE LP","ONEOK - LINE CREEK TO CALUMET 4 INCH 10149","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","POCASSET","GRADY","OK",35.203837,-98.06593,"EXCAVATION DAMAGE","OPERATOR/CONTRACTOR EXCAVATION DAMAGE",286,0,0,286,"NO","NO","YES","12/9/2010 22:38","12/13/2010 22:00",0,0,74000,12987,0,0,0,0,86987
"262",328,20100291,20337,2010,"12/9/2010 5:50 PM",32109,"ONEOK NGL PIPELINE LP","ONEOK JAYHAWK PIPELINE  10251","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","GREENSBURG","EDWARDS","KS",37.742029,-99.217775,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",3415,0,0,3415,"NO","NO","YES","12/9/2010 17:50","12/11/2010 17:00",8,0,61000,155075,0,0,0,0,216075
"263",329,20110012,19854,2010,"12/9/2010 6:12 PM",5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC","BARTLESVILLE TO BROOME PIPELINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","COPAN","WASHINGTON","OK",36.93117,-95.90781,"CORROSION","INTERNAL",199,0,195,4,"NO","NO","YES","12/9/2010 18:30","12/23/2010 8:30",0,0,46397,17413,0,389430,3000,0,456240
"264",330,20110008,16854,2010,"12/10/2010 3:28 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","WEST LEG BLUE LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPANE","TRIMONT","MARTIN","MN",43.72835,-94.73,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",4544,141,0,4544,"NO","NO","YES","12/10/2010 15:31","12/15/2010 16:15",12,0,79087,237477,0,45565,0,0,362129
"272",339,20110069,17571,2010,"12/16/2010 10:23 AM",12470,"MID - VALLEY PIPELINE CO","MAYERSVILLE STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","MAYERSVILLE","ISSAQUENA","MS",32.87476,-91.05339,"CORROSION","INTERNAL",75,0,58,17,"NO","NO","YES","12/16/2010 10:25","12/16/2010 16:26",0,0,30942,1432,0,15715,102443,0,150532
"275",342,20110021,15725,2010,"12/20/2010 4:30 PM",31627,"DENBURY ONSHORE, LLC","GREEN PIPELINE","ONSHORE","UNDERGROUND","CO2 (CARBON DIOXIDE)","","","KINDER","JEFFERSON DAVIS","LA",30.4342,-92.9503,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",0.29,70191,0,0.29,"NO","NO","YES","12/21/2010 6:30","12/24/2010 19:30",0,0,58283,140703,4000,2659,0,0,205645
"276",343,20110016,19911,2010,"12/21/2010 12:00 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","GENEVA TO ELM CREEK ","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","GENEVA","FILLMORE COUNTY","NE",40.55081,-97.59588,"CORROSION","EXTERNAL",1.78,0,1.78,0,"NO","NO","YES","12/21/2010 12:15","12/23/2010 16:15",0,0,4200,62,500,22000,2000,0,28762
