"","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Operator.Contractor.Injuries","Emergency.Responder.Injuries","Other.Injuries","Public.Injuries","All.Injuries","Operator.Employee.Fatalities","Operator.Contractor.Fatalities","Emergency.Responder.Fatalities","Other.Fatalities","Public.Fatalities","All.Fatalities","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"569",20110310,19006,2011,"8/17/2011 12:03 PM",32103,"CRIMSON PIPELINE L.P.","IDLE HOLE LEASE LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","FULLERTON","ORANGE","CA",33.91765556,-117.9154528,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",2,0,0,2,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,300,1000,20000,25000,2000,49800
"573",20110358,19954,2011,"8/20/2011 12:30 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","","ONSHORE","UNDERGROUND","CRUDE OIL","","","WEST COLUMBIA","BRAZORIA","TX",29.084431,-95.403144,"CORROSION","INTERNAL",250,NA,200,50,"NO","NO","YES","8/20/2011 12:30","8/20/2011 13:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,4500,0,0,230000,4000,338500
"575",20110347,16546,2011,"8/22/2011 4:30 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","FT. MADISON LATERAL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","FT. MADISON","LEE","IA",40.596305,-91.411283,"MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",0.2,0,0,0.2,"NO","NO","YES","8/22/2011 16:58","8/26/2011 18:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,13,0,0,0,0,30013
"585",20110365,17540,2011,"8/31/2011 10:08 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","COFFEYVILLE STATION, BLUE LINE","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ISOBUTANE","COFFEYVILLE","MONTGOMERY","KS",37.0525,-95.61183,"OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",1,0.48,0,1,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,127,0,0,0,0,227
"590",20110371,20614,2011,"9/5/2011 10:45 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","HOBBS TO MIDLANDD","ONSHORE","UNDERGROUND","CRUDE OIL","","","ANDREWS","ANDREWS","TX",32.303575,-102.548583,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",560,0,440,120,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15525,53280,0,24550,46675,0,140030
"597",20110384,16549,2011,"9/13/2011 8:00 AM",31684,"CONOCOPHILLIPS","OK-01, WICHITA FALLS TO PONCA CITY, 12"" CRUDE LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","TEMPLE, OK","COTTON","OK",34.133131,-98.262922,"ALL OTHER CAUSES","UNKNOWN",1.7,0,0.9,0.8,"NO","NO","","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000000,146,5000,120000,1218050,0,3343196
"609",20110393,19345,2011,"9/25/2011 6:30 PM",15774,"ENBRIDGE PIPELINES (NORTH DAKOTA) LLC","BERTHOLD STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","BERTHOLD","WARD","ND",48.325724,-101.752889,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",20,0,20,0,"NO","NO","YES","9/25/2011 18:32","9/26/2011 15:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,1600,0,2500,225000,0,229250
"610",20110397,18546,2011,"9/25/2011 6:45 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 14 SUPERIOR TERMINAL","ONSHORE","ABOVEGROUND","CRUDE OIL","","","SUPERIOR","DOUGLAS","WI",46.68889,-92.05972,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",15,0,15,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20100,0,0,80000,20000,0,120100
"617",20110406,17687,2011,"10/4/2011 3:05 PM",18718,"SUNOCO PIPELINE L.P.","SOUR LAKE STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","SOUR LAKE","HARDIN","TX",30.14105,-94.39892,"CORROSION","INTERNAL",0.5,0,0,0.5,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1684,36,0,1588,0,0,3308
"626",20110417,17586,2011,"10/12/2011 7:45 AM",22442,"WEST TEXAS GULF PIPELINE CO","WTG-LONGVIEW STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG","TX",32.4819,-94.8351,"CORROSION","INTERNAL",1,0,0,1,"NO","NO","YES","10/12/2011 7:45","10/12/2011 16:20",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2095,82,0,1598,745,0,4520
"634",20110415,17376,2011,"10/17/2011 4:55 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","WYNNEWOOD STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","WYNNEWOOD","GARVIN","OK",34.63366,-97.1581,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",5,0,5,0,"NO","NO","YES","10/17/2011 16:55","10/17/2011 21:15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,235,0,500,4745,0,5500
"635",20110428,16210,2011,"10/19/2011 2:18 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","SOUTH LEG RED LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","Y-GRADE","CLAUDE","ARMSTRONG","TX",35.02529,-101.51128,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.35,0,0,0.35,"NO","NO","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17500,20,0,0,7550,0,25070
"637",20110424,19391,2011,"10/23/2011 7:30 AM",32613,"OILTANKING PORT NECHES, LLC","#3-30""","ONSHORE","UNDERGROUND","CRUDE OIL","","","PORT NECHES","JEFFERSON","TX",29.970953,-93.938061,"CORROSION","EXTERNAL",4,0,0,4,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,400,0,0,1000,0,6400
"648",20110440,18005,2011,"11/8/2011 10:10 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 67","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CLEARBROOK","CLEARWATER","MN",47.68889,-95.41222,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",10,0,10,0,"NO","NO","YES","11/8/2011 10:20","11/8/2011 15:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,0,0,3000,2000,0,7300
"655",20110445,18195,2011,"11/14/2011 9:20 AM",30909,"TRANSMONTAIGNE OPERATING COMPANY L.P.","DIAMONDBACK PIPELINE","ONSHORE","TANK","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","BROWNSVILLE","CAMERON","TX",25.964238,-97.381096,"INCORRECT OPERATION","DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR",1330,0,0,1330,"NO","NO","YES","11/14/2011 9:35","11/15/2011 8:05",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,87130,0,0,0,0,87130
"664",20110460,17385,2011,"11/30/2011 6:49 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","EAST HOUSTON","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","HOUSTON","HARRIS","TX",29.79428,-95.28162,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",1855,0,1855,0,"NO","NO","YES","12/1/2011 3:15","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,0,0,26500,18500,30000,125000
"670",20120001,18397,2011,"12/6/2011 3:45 AM",2552,"COLONIAL PIPELINE CO","COLONIAL/OXFORD STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","OXFORD","CALHOUN","AL",33.59872,-85.82542,"INCORRECT OPERATION","INCORRECT INSTALLATION",69,0,68,1,"NO","NO","YES","12/6/2011 3:49","12/6/2011 17:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,10000,3200,300000,500000,0,833200
"671",20120006,21019,2011,"12/6/2011 11:00 AM",1248,"BELLE FOURCHE PIPELINE CO","BICENTENNIAL - ALEX 8""","ONSHORE","UNDERGROUND","CRUDE OIL","","","ALEXANDER","MCKENZIE","ND",47.907607,-103.650532,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",800,NA,650,150,"NO","NO","YES","12/6/2011 11:08","12/7/2011 7:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6232,10000,0,5000,0,0,21232
"673",20120005,17398,2011,"12/6/2011 11:30 PM",26303,"UNOCAL PIPELINE CO - EASTERN REGION","BEAUMONT TERMINAL","ONSHORE","ABOVEGROUND","CRUDE OIL","","","NEDERLAND","JEFFERSON","TX",29.9948,-93.9853,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",31,0,27,4,"NO","NO","YES","12/6/2011 23:30","12/10/2011 18:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26500,400,0,17221,8000,0,52121
"675",20120011,17672,2011,"12/8/2011 9:15 AM",300,"PLAINS PIPELINE, L.P.","JAL STATION","ONSHORE","TANK","CRUDE OIL","","","JAL","LEA","NM",32.080874,-103.176847,"INCORRECT OPERATION","DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR",0,NA,0,0,"YES","YES","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190000,4750,0,0,0,0,194750
"677",20120007,16558,2011,"12/9/2011 9:00 AM",1248,"BELLE FOURCHE PIPELINE CO","BICENTENNIAL TO ALEX 8""","ONSHORE","UNDERGROUND","CRUDE OIL","","","ALEXANDER ND","MCKENZIE","ND",47.673856,-103.65985,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",1000,NA,470,530,"NO","NO","YES","12/9/2011 9:18","12/10/2011 17:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4737,47302,0,5546,1940,0,59525
"680",20120009,16866,2011,"12/10/2011 10:50 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","#5-12"" KANSAS CITY TO SIOUX CITY LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","NEMAHA CITY","NEMAH","NE",40.31277,-95.72125,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",2184,0,194,1990,"NO","NO","YES","12/10/2011 10:53","12/12/2011 14:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31000,95147,3500,240000,1779261,131700,2280608
"684",20120002,18396,2011,"12/12/2011 10:16 AM",2552,"COLONIAL PIPELINE CO","COLONIAL/ GREENSBORO JUNCTION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","GREENSBORO","GUILFORD","NC",36.06889,-78.06611,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",3.3,0,2,1.3,"NO","NO","YES","12/12/2011 10:16","12/12/2011 16:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2456,415,0,15000,4743,0,22614
"699",20120027,17451,2012,"1/9/2012 7:00 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","","ONSHORE","ABOVEGROUND","CRUDE OIL","","","","","TX",38.866606,-98.837622,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.12,0,0,0.12,"NO","NO","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,15,0,600,600,0,1315
"700",20120032,17888,2012,"1/10/2012 7:30 AM",31684,"CONOCOPHILLIPS","CLIFTON RIDGE MARINE TERMINAL","ONSHORE","TANK","CRUDE OIL","","","SULPHUR","CALCASIEU","LA",30.158686,-93.339919,"NATURAL FORCE DAMAGE","HEAVY RAINS/FLOODS",0.5,0,0.5,0,"NO","NO","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0,10000,0,0,10050
"716",20120050,18867,2012,"1/23/2012 10:12 AM",1845,"BUCKEYE PARTNERS, LP","GREENSBURG STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","WESTMORELAND","HEMPFIELD TOWNSHIP","PA",40.29213,-79.5866,"ALL OTHER CAUSES","MISCELLANEOUS",0.6,0,0.43,0.17,"NO","NO","YES","1/23/2012 10:16","1/23/2012 12:54",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,0,800,100,0,925
"720",20120053,17336,2012,"1/27/2012 8:43 AM",15156,"SINCLAIR TRANSPORTATION COMPANY","PATHFINDER STATION","ONSHORE","TANK","CRUDE OIL","","","CASPER","NATRONA","WY",42.854803,-106.41171,"INCORRECT OPERATION","DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR",440,0,245,195,"NO","NO","","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,17550,0,5000,87610,0,125160
"726",20120067,18127,2012,"2/6/2012 11:00 AM",2552,"COLONIAL PIPELINE CO","COLONIAL/HEBERT STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","BEAUMONT","JEFFERSON","TX",29.97501,-94.05586,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.33,0,0.33,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19500,40,0,0,19000,0,38540
"731",20120065,17681,2012,"2/9/2012 2:15 PM",18718,"SUNOCO PIPELINE L.P.","STATION 8A","ONSHORE","ABOVEGROUND","CRUDE OIL","","","WHITE OAK","GREGG","TX",32.51846,-94.84417,"INCORRECT OPERATION","INCORRECT INSTALLATION",0.35,0,0,0.35,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,0,2000,0,0,2034
"745",20120081,16991,2012,"2/17/2012 2:45 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 6A MP 461","ONSHORE","UNDERGROUND","CRUDE OIL","","","DYER","LAKE","IN",41.49806,-87.51722,"OTHER OUTSIDE FORCE DAMAGE","OTHER OUTSIDE FORCE DAMAGE",0.01,0,0.01,0,"NO","NO","YES","2/17/2012 15:00","2/18/2012 20:41",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5000,53360,0,0,58360
"759",20120098,17932,2012,"3/3/2012 2:04 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 64","ONSHORE","ABOVEGROUND","CRUDE OIL","","","NEW LENOX","WILL","IL",41.49188,-87.91791,"OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",1500,0,255,1245,"YES","NO","YES","3/3/2012 2:04","3/9/2012 7:20",0,0,0,0,0,3,3,0,0,0,0,2,2,864819,124500,0,915512,931946,0,2836777
"763",20120101,17677,2012,"3/6/2012 5:08 PM",26085,"PLAINS MARKETING, L.P.","PLAINS MARKETING TERMINAL (PMT)","ONSHORE","ABOVEGROUND","CRUDE OIL","","","MIDLAND","MIDLAND","TX",32.01435,-102.01776,"INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",3,0,3,0,"NO","NO","YES","3/6/2012 17:10","3/6/2012 19:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,300,0,700,800,0,1800
"768",20120104,19850,2012,"3/14/2012 12:25 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","GALENA PARK / KINDER MORGAN FACILITY","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","GALENA PARK","HARRIS","TX",29.72941,-95.22026,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.12,0,0.12,0,"NO","NO","","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,25,0,7000,0,0,7525
"798",20120132,17826,2012,"4/6/2012 8:53 AM",32080,"CCPS TRANSPORTATION, LLC","LINE 55 ","ONSHORE","ABOVEGROUND","CRUDE OIL","","","SHELBINA","SHELBY","MO",39.72708,-92.04994,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",20,0,20,0,"NO","NO","YES","4/6/2012 8:53","4/7/2012 19:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2000,0,152500,332000,0,486500
"803",20120144,17700,2012,"4/9/2012 2:45 PM",300,"PLAINS PIPELINE, L.P.","WILMINGTON STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CARSON","LOS ANGELES","CA",33.80197,-118.23844,"INCORRECT OPERATION","INCORRECT VALVE POSITION",4.5,0,4.5,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5000,10000,0,15000
"804",20120139,19031,2012,"4/9/2012 7:15 PM",32109,"ONEOK NGL PIPELINE LP","ONEOK BINGER JCT. 2","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","Y-GRADE (RAW FEED)","MINCO","GRADY","OK",35.34866,-98.09101,"INCORRECT OPERATION","DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR",1.84,0.24,0,1.84,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,73,0,150,0,0,323
"805",20120122,18124,2012,"4/10/2012 7:00 AM",2552,"COLONIAL PIPELINE CO","COLONIAL/PAULDING STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","LOUIN","JASPER","MS",32.02821,-89.10162,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.87,0,0.87,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,104,0,13372,0,0,14476
"813",20120156,18337,2012,"4/16/2012 10:00 AM",4906,"EXXONMOBIL PIPELINE CO","VIOLA ACT METER STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CORPUS CHRISTI","NUECES","TX",27.83125,-97.51745,"INCORRECT OPERATION","INCORRECT INSTALLATION",0.38,0,0.38,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,40,0,9000,0,0,9140
"814",20120151,16973,2012,"4/16/2012 6:00 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","SEMINOLE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","Y-GRADE","CLUTE, TX","BRAZORIA ","TX",29.06023333,-95.35065556,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",3,0,0,3,"NO","NO","YES","4/16/2012 18:00","4/17/2012 9:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,70,1000,25000,12000,0,39070
"821",20120164,18239,2012,"4/23/2012 4:00 AM",12470,"MID - VALLEY PIPELINE CO","HEBRON STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HEBRON","BOONE","KY",39.03543,-84.69089,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.47,0,0.47,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,0,0,1400,0,0,9900
"823",20120161,18865,2012,"4/23/2012 3:10 PM",1845,"BUCKEYE PARTNERS, LP","LINDEN STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","LINDEN","UNION","NJ",40.608511,-74.239999,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.17,0,0.17,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1060,3600,0,4660
"833",20120172,16858,2012,"5/10/2012 10:30 AM",18718,"SUNOCO PIPELINE L.P.","TEXAS PLAINS 10""","ONSHORE","UNDERGROUND","CRUDE OIL","","","CHILDRESS","CHILDRESS","TX",34.32044,-100.24465,"CORROSION","EXTERNAL",20,0,0,20,"NO","NO","YES","5/10/2012 10:30","5/13/2012 9:12",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59440,1870,0,0,198223,0,259533
"840",20120183,17132,2012,"5/17/2012 9:30 AM",15156,"SINCLAIR TRANSPORTATION COMPANY","MID-CONTINENT DISTRICT","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","KAHOKA","CLARK","MO",40.40966,-91.83585,"CORROSION","EXTERNAL",5,0,0,5,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,600,2000,0,33370,0,41970
"844",20120184,17627,2012,"5/18/2012 8:00 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.0729,-96.4767,"CORROSION","INTERNAL",10,0,8,2,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,176,0,783,8145,0,10454
"851",20120192,17454,2012,"5/22/2012 1:30 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","C15","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CRANE","CRANE","TX",31.43275,-102.438656,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",2.5,0,0,2.5,"NO","NO","YES","5/22/2012 13:30","5/23/2012 9:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,250,0,0,30078,0,32328
"870",20120206,17522,2012,"6/13/2012 7:00 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","JONES CREEK TERMINAL ","ONSHORE","TANK","CRUDE OIL","","","JONES CREEK, TX","BRAZORIA","TX",28.950953,-95.432542,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",1,0,0.5,0.5,"NO","NO","YES","6/13/2012 7:10","6/14/2012 8:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,100,0,500,3100,0,5200
"878",20120213,17420,2012,"6/22/2012 1:15 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","BURLINGTON PUMP STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","BURLINGTON","KIT CARSON ","CO",39.08605,-102.46611,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.36,0,0.36,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,55,0,0,500,0,1055
"881",20120218,17758,2012,"6/25/2012 4:04 PM",31476,"ROSE ROCK MIDSTREAM L.P.","DICKINSON STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","REECE","GREENWOOD","KS",37.80389,-96.51428,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",142,0,140,2,"NO","NO","YES","6/25/2012 16:04","6/26/2012 10:59",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,0,1500,5000,0,6900
"888",20120225,17625,2012,"7/6/2012 2:15 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.0729,-96.4767,"CORROSION","INTERNAL",0.12,0,0,0.12,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,125,1000,0,1137
"893",20120234,17501,2012,"7/16/2012 9:33 AM",31174,"SHELL PIPELINE CO., L.P.","IOWA PUMP STATION","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ETHYLENE","LAKE CHARLES","CALCASIEU","LA",30.1571,-93.0463,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",15.67,0,0,15.67,"YES","NO","YES","7/16/2012 9:35","7/16/2012 13:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500000,850,0,5000,0,0,505850
"923",20120268,17620,2012,"8/19/2012 7:30 AM",18718,"SUNOCO PIPELINE L.P.","DARBY CREEK TANK FARM","ONSHORE","UNDERGROUND","CRUDE OIL","","","SHARON HILL","DELAWARE","PA",39.8955,-75.25948,"CORROSION","INTERNAL",4.14,0,4.14,0,"NO","NO","YES","8/19/2012 7:30","8/20/2012 18:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,46000,0,46000
