"","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"200",20100185,18597,2010,"7/29/2010 1:30 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 2 ","ONSHORE","UNDERGROUND","CRUDE OIL","","","CASS LAKE","CASS","MN",47.38361,-94.63389,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",155,0,155,0,"NO","NO","NO","","",0,0,50000,5600,0,84000,690400,0,830000
"201",20100186,20028,2010,"7/29/2010 4:30 PM",31476,"SEMGROUP LP","CUNNINGHAM 12""","ONSHORE","UNDERGROUND","CRUDE OIL","","","HAVEN","RENO COUNTY","KS",37.8875,-97.90877,"CORROSION","INTERNAL",20,0,12,8,"NO","NO","NO","","",0,0,2150,850,5000,2000,35000,0,45000
"202",20100175,17709,2010,"7/31/2010 7:02 AM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.06839,-96.47081,"CORROSION","INTERNAL",3,0,0.5,2.5,"NO","NO","NO","","",0,0,15000,227,0,2000,2000,0,19227
"203",20100189,17834,2010,"8/2/2010 8:35 PM",31666,"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC","FOUNTAIN TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","FOUNTAIN","EL PASO","CO",38.66916,-104.70138,"NATURAL FORCE DAMAGE","LIGHTNING",0.16,0,0.16,0,"NO","NO","YES","8/2/2010 20:35","8/30/2010 14:00",0,0,0,17,0,550,0,0,567
"204",20100192,17582,2010,"8/3/2010 4:00 PM",22442,"WEST TEXAS GULF PIPELINE CO","RANGER-WTG STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","RANGER","EASTLAND","TX",32.49783,-98.63633,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.12,0,0.12,0,"NO","NO","NO","","",0,0,1171,38,0,0,0,0,1209
"205",20100193,19626,2010,"8/5/2010 1:30 AM",18779,"SUNOCO, INC (R&M)","MARCUS HOOK REFINERY","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","OTHER","LIGHT NAPHTHA (GASOLINE COMPONENT)","MARCUS HOOK","DELAWARE COUNTY","PA",39.8188,-75.42217,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.78,0,0.78,0,"NO","NO","YES","8/5/2010 1:30","8/5/2010 14:30",0,0,1000,0,0,0,0,0,1000
"206",20100187,15335,2010,"8/5/2010 2:00 PM",12470,"MID - VALLEY PIPELINE CO","MAUMEE SYSTEM","ONSHORE","UNDERGROUND","CRUDE OIL","","","OREGON","LUCAS","OH",41.6234,-83.4878,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",1,0,0,1,"NO","NO","YES","8/5/2010 14:50","8/6/2010 14:37",0,0,6709,79,0,3790,10660,0,21238
"207",20100242,17477,2010,"8/5/2010 3:00 PM",30829,"TEPPCO CRUDE PIPELINE, LLC","CRANE STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CRANE","CRANE","TX",31.434268,-102.440189,"CORROSION","INTERNAL",4.5,0,4,0.5,"NO","NO","NO","","",0,0,1000,50,0,0,9994,0,11044
"208",20100183,19349,2010,"8/5/2010 7:38 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","WYNNEWOOD TO OKC","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PAOLI","GARVIN","OK",34.82512,-97.18992,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",320,0,320,0,"NO","NO","YES","8/5/2010 19:38","8/7/2010 8:55",0,0,80000,30300,0,45000,85000,0,240300
"209",20100191,17825,2010,"8/9/2010 8:35 AM",31555,"KINDER MORGAN CO2 CO. LP","","ONSHORE","ABOVEGROUND","CO2 (CARBON DIOXIDE)","","","","","TX",32.11581,-102.29321,"ALL OTHER CAUSES","MISCELLANEOUS",0.37,0,0,0.37,"NO","NO","NO","","",0,0,0,0,0,600,0,0,600
"211",20100194,18053,2010,"8/11/2010 11:00 AM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PASADENA","","TX",29.726944,-95.203333,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.38,0,0.38,0,"NO","NO","YES","8/11/2010 11:00","8/13/2010 22:30",0,0,20000,43,0,0,200,0,20243
"212",20100195,18143,2010,"8/12/2010 5:00 PM",31189,"BP PIPELINE (NORTH AMERICA) INC.","MONT BELVIEW-BAYPORT 191 CHEMICAL GRADE PROPYLENE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPYLENE","LAPORTE","HARRIS","TX",29.66904,-95.05733,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3,0,0,3,"NO","NO","NO","","",0,0,220000,25600,0,50000,0,0,295600
"216",20100198,17309,2010,"8/18/2010 5:00 PM",32109,"ONEOK NGL PIPELINE LP","STERLING 2/SALMON BSTR","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","ELKHART","ANDERSON","TX",31.58929,-95.47697,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",2,0.2,0,2,"NO","NO","YES","8/18/2010 17:00","8/18/2010 18:25",0,0,15,38,0,120,0,0,173
"217",20100200,17789,2010,"8/19/2010 8:30 AM",32334,"TC OIL PIPELINE OPERATIONS INC","HARTINGTON PUMP STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HARTINGTON","CEDAR","NE",42.63521,-97.3371,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.24,0,0.24,0,"NO","NO","NO","","",0,0,0,18,0,5000,28000,0,33018
"218",20100263,17850,2010,"8/19/2010 11:35 PM",26094,"NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.","ST JAMES TERMINAL 40"" CAPLINE ","ONSHORE","UNDERGROUND","CRUDE OIL","","","ST. JAMES","ST. JAMES","LA",30.02609,-90.85108,"CORROSION","INTERNAL",0.6,0,0.6,0,"NO","NO","NO","","",0,0,0,0,0,0,28500,0,28500
"219",20100202,15297,2010,"8/20/2010 7:00 AM",31580,"MAGELLAN TERMINALS HOLDINGS, LP","GALENA PARK TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PASEDENA","HARRIS","TX",29.718312,-95.180385,"INCORRECT OPERATION","INCORRECT VALVE POSITION",14,0,14,0,"NO","NO","NO","","",0,0,0,0,0,5000,15000,0,20000
"220",20100190,17282,2010,"8/20/2010 9:45 AM",15774,"ENBRIDGE PIPELINES (NORTH DAKOTA) LLC","SHERWOOD STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","SHERWOOD","RENVILLE","ND",48.96572,-101.65116,"CORROSION","INTERNAL",0.38,0,0.38,0,"NO","NO","YES","8/20/2010 10:00","8/20/2010 15:00",0,0,0,25,0,0,0,11000,11025
"221",20100188,17708,2010,"8/22/2010 7:00 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.06839,-96.47081,"CORROSION","INTERNAL",100,0,2,98,"NO","NO","NO","","",0,0,0,6860,0,46829,344350,0,398039
"223",20100206,18575,2010,"8/24/2010 1:20 PM",31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","LINE 51 GASCONADE STATION -GA","ONSHORE","ABOVEGROUND","CRUDE OIL","","","RICHLAND","PULASKI","MO",37.91083,-92.37944,"CORROSION","INTERNAL",1.43,0,1.43,0,"NO","NO","NO","","",0,0,2000,0,0,3000,10000,0,15000
"224",20100207,15303,2010,"8/25/2010 1:30 PM",32246,"LDH ENERGY MONT BELVIEU L.P.","LDH ENERGY MONT BELVIEU SOUTH TERMINAL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MONT BELVIEU","CHAMBERS","TX",29.847028,-94.897099,"EXCAVATION DAMAGE","OPERATOR/CONTRACTOR EXCAVATION DAMAGE",6,0,0,6,"NO","NO","YES","8/25/2010 13:30","8/25/2010 17:30",0,0,4820,180,0,0,0,0,5000
"225",20100208,20568,2010,"8/26/2010 8:18 PM",4472,"KINDER MORGAN ENERGY PARTNERS, L.P.","MONT BELVIEU PUMP STATION","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ETHANE (80%) PROPANE (20%) MIX","MONT BELVIEU","CHAMBERS","TX",29.84671,-94.9057,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",1,1.9,0,1,"NO","NO","YES","8/26/2010 21:15","8/27/2010 5:12",0,0,18659,18,0,0,0,0,18677
"226",20100210,17389,2010,"8/27/2010 5:42 AM",2731,"CHEVRON PIPE LINE CO","PINES METER STATION","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","HP PROPYLENE","BAYTOWN","HARRIS","TX",29.825329,-94.922859,"ALL OTHER CAUSES","MISCELLANEOUS",0.02,0,0,0.02,"YES","NO","NO","","",0,0,2500,0,0,0,0,0,2500
"227",20100209,17892,2010,"8/27/2010 10:25 AM",31684,"CONOCOPHILLIPS","TANK 1078 AT THE CASPER PUMP STATION","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","EVANSVILLE","NATRONA","WY",42.855444,-106.246861,"INCORRECT OPERATION","INCORRECT INSTALLATION",10,0,0,10,"NO","NO","NO","","",0,0,15000,1260,0,0,0,0,16260
"228",20100220,15823,2010,"8/27/2010 4:30 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","P-41","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","GILBOA","SCHOHARIE","NY",42.46833,-74.3515,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",3283,0,0,3283,"NO","NO","YES","8/27/2010 17:00","2/2/2011 13:35",23,0,1441000,145332,62100,163324,0,0,1811756
"229",20100211,19614,2010,"8/31/2010 3:30 AM",4906,"EXXONMOBIL PIPELINE CO","BAYTOWN PRODUCTS 2 (SAPL)","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BAYTOWN","HARRIS","TX",29.73525,-95.02365,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.48,0,0.48,0,"YES","NO","YES","8/31/2010 3:30","8/31/2010 16:30",0,0,49000,50,0,0,0,0,49050
"230",20100214,15870,2010,"9/1/2010 5:20 PM",2731,"CHEVRON PIPE LINE CO","SOUTH FEEDSTOCK","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPANE","FRIENDSWOOD","GALVESTON","TX",29.54619,-95.213783,"ALL OTHER CAUSES","MISCELLANEOUS",4.46,0,0,4.46,"NO","NO","YES","9/1/2010 17:25","9/3/2010 10:00",0,0,38700,100,0,7000,0,0,45800
"231",20100264,17849,2010,"9/2/2010 7:50 AM",31454,"NUSTAR LOGISTICS, L.P.","WICHITA FALLS STATION","ONSHORE","TANK","CRUDE OIL","","","WICHITA FALLS","WICHITA ","TX",33.91269,-98.43935,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",3,0,0,3,"NO","NO","NO","","",0,0,0,222,0,1800,200,0,2222
"232",20100205,15301,2010,"9/3/2010 9:45 AM",9175,"JAYHAWK PIPELINE LLC","","ONSHORE","UNDERGROUND","CRUDE OIL","","","HUGOTON ","STEVENS","KS",37.08414,-101.32146,"CORROSION","INTERNAL",2,0,0,2,"NO","NO","YES","9/3/2010 10:10","9/3/2010 18:50",0,0,0,120,500,2000,1500,0,4120
"233",20100212,21563,2010,"9/5/2010 4:56 AM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","ENID LATERAL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","","GRANT","OK",36.810495,-97.831946,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",0.71,0,0,0.71,"NO","NO","NO","","",0,0,0,60,0,20000,25000,0,45060
"235",20100219,16776,2010,"9/7/2010 2:11 PM",2170,"CENEX PIPELINE LLC","RECEIVER AT MP 191","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","N/A","PRAIRIE","MT",46.71782754,-105.44129948,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",3.6,0,0,3.6,"NO","NO","YES","9/7/2010 14:22","9/7/2010 15:20",0,0,200,300,0,500,0,9500,10500
"236",20100259,19203,2010,"9/7/2010 2:30 PM",26149,"ALYESKA PIPELINE SERVICE CO","RGV-35A","ONSHORE","ABOVEGROUND","CRUDE OIL","","","COLDFOOT","N/A","AK",67.7987,-149.8164,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.12,0,0.12,0,"NO","NO","","","",0,0,700,8,0,3420,0,0,4128
"237",20100265,17354,2010,"9/8/2010 8:11 AM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","NUSTAR ARK CITY STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","ARKANSAS CITY","COWLEY CO","KS",37.04441,-97.01768,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.5,0,0.5,0,"NO","NO","","","",0,0,2500,60,0,3000,660,0,6220
"238",20100213,17741,2010,"9/8/2010 10:30 AM",3445,"DIXIE PIPELINE","MARINGOUIN STATION","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MARINQOUIN","POINTEE COUPEE","LA",30.496161,-91.560667,"INCORRECT OPERATION","OTHER INCORRECT OPERATION",382,0,0,382,"NO","NO","NO","","",0,0,0,17328,0,0,0,0,17328
"239",20100217,17311,2010,"9/8/2010 4:22 PM",32109,"ONEOK NGL PIPELINE LP","212 METER RUN AT CONWAY STORAGE ","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","NATURAL GASOLINE","WINDOM","MCPHERSON","KS",38.37239,-97.80143,"INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",0.85,0.1,0,0.85,"NO","NO","NO","","",0,0,0,60,0,0,0,0,60
"240",20100218,17312,2010,"9/8/2010 4:22 PM",32109,"ONEOK NGL PIPELINE LP","313 JUNCTION OR KM/ONEOK DELIVERY","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","NATURAL GASOLINE","WINDOM","MCPHERSON","KS",38.3693,-97.83197,"INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",0.85,0.1,0,0.85,"NO","NO","NO","","",0,0,0,60,0,0,0,0,60
"241",20100216,17764,2010,"9/9/2010 10:30 AM",12624,"MOBIL CORP","","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","","","TX",29.97496932,-94.0572917,"MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",0.37,0,0.37,0,"NO","NO","","","",0,0,0,43,0,5000,40000,2400,47443
"242",20100221,20596,2010,"9/9/2010 11:30 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 6A","ONSHORE","UNDERGROUND","CRUDE OIL","","","ROMEOVILLE","WILL","IL",41.655265,-88.076523,"OTHER OUTSIDE FORCE DAMAGE","OTHER OUTSIDE FORCE DAMAGE",7538,0,7538,0,"NO","NO","YES","9/9/2010 12:28","9/17/2010 9:50",470,0,2810324,70000,12233787,12146232,16538963,3594260,47393566
"243",20100223,15467,2010,"9/11/2010 8:55 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 6B","ONSHORE","UNDERGROUND","CRUDE OIL","","","FOWLERVILLE","LIVINGSTON","MI",42.56794,-84.10547,"INCORRECT OPERATION","DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR",0.24,0,0.24,0,"NO","NO","NO","","",0,0,20000,0,0,2500,2500,0,25000
"244",20100226,18629,2010,"9/12/2010 11:15 AM",31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","EL DORADO TERMINAL","ONSHORE","TANK","CRUDE OIL","","","EL DORADO","BUTLER","KS",37.80556,-96.915,"CORROSION","EXTERNAL",0.24,0,0.24,0,"NO","NO","NO","","",0,0,70000,0,0,0,10000,0,80000
"247",20100225,15432,2010,"9/16/2010 9:30 AM",18718,"SUNOCO PIPELINE L.P.","TEXAS PLAINS SYSTEM","ONSHORE","UNDERGROUND","CRUDE OIL","","","ANSON","JONES","TX",32.71141,-99.81866,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.5,0,0,0.5,"NO","NO","NO","","",0,0,16967,35,0,1863,0,0,18865
"248",20100222,15358,2010,"9/16/2010 1:20 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","EAST LEG BLUE LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPANE","WYOMING","JONES","IA",42.02244,-91.00488,"ALL OTHER CAUSES","MISCELLANEOUS",1.7,968.3,0,1.7,"NO","NO","YES","9/16/2010 13:41","9/19/2010 13:00",0,0,65520,46036,4800,0,0,0,116356
"249",20100266,17411,2010,"9/16/2010 3:20 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","WILLIS PUMP STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","WILLIS","MONTGOMERY","TX",30.43779,-95.62383,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.83,0,0.83,0,"NO","NO","","","",0,0,100,0,0,5000,35000,0,40100
"251",20100228,15871,2010,"9/17/2010 1:45 PM",2731,"CHEVRON PIPE LINE CO","EAST FEEDSTOCK SYSTEM","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ETHANE/PROPANE MIX","PT. ARTHUR","JEFFERSON","TX",29.920836,-94.020288,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",87,0,0,87,"NO","NO","YES","9/17/2010 14:10","9/18/2010 15:00",0,0,45000,5250,0,10000,0,0,60250
"252",20100203,17592,2010,"9/19/2010 7:40 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","GAINES STATION","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","SEMINOLE","GAINES","TX",32.46539,-103.57639,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",200,0,0,200,"NO","NO","YES","9/19/2010 7:40","9/19/2010 15:30",0,0,16000,10000,0,1400,0,0,27400
"253",20100232,15519,2010,"9/22/2010 7:40 AM",22442,"WEST TEXAS GULF PIPELINE CO","SOUR LAKE CITGO JUNCTION ","ONSHORE","UNDERGROUND","CRUDE OIL","","","SOUR LAKE","HARDIN","TX",30.1479,-94.4001,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",2,0,0,2,"NO","NO","YES","9/22/2010 8:00","9/22/2010 13:00",0,0,10431,142,0,7872,2639,0,21084
"254",20100230,18572,2010,"9/23/2010 12:40 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","DEER RIVER STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","DEER RIVER","ITASCA","MN",47.32444,-93.76306,"INCORRECT OPERATION","INCORRECT VALVE POSITION",0.24,0,0.24,0,"NO","NO","NO","","",0,0,100,0,0,5000,15000,15000,35100
"255",20100229,17707,2010,"9/24/2010 9:30 AM",18718,"SUNOCO PIPELINE L.P.","36G PUMP","ONSHORE","ABOVEGROUND","CRUDE OIL","","","BRECKENRIDGE","STEPHENS","TX",32.7478,-98.9129,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",2,0,1,1,"NO","NO","NO","","",0,0,0,37,0,100,100,0,237
"256",20100235,17705,2010,"9/27/2010 6:00 PM",18718,"SUNOCO PIPELINE L.P.","HEBERT STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","BEAUMONT","JEFFERSON","TX",29.98219,-94.06028,"INCORRECT OPERATION","INCORRECT VALVE POSITION",1,0,0.83,0.17,"NO","NO","YES","9/27/2010 18:00","9/27/2010 18:10",0,0,3413,0,0,1800,3700,0,8913
"257",20100236,17704,2010,"9/28/2010 1:46 PM",18718,"SUNOCO PIPELINE L.P.","HEBERT STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BEAUMONT","JEFFERSON","TX",29.98219,-94.06028,"EXCAVATION DAMAGE","OPERATOR/CONTRACTOR EXCAVATION DAMAGE",0.24,0,0.24,0,"NO","NO","YES","9/28/2010 13:55","9/28/2010 14:00",0,0,500,20,0,0,500,0,1020
"258",20100237,17699,2010,"9/30/2010 8:30 AM",18718,"SUNOCO PIPELINE L.P.","THOMAS STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","THOMAS","GREGG","TX",32.47831,-94.868,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",1,0,0,1,"NO","NO","NO","","",0,0,2246,77,0,1659,0,0,3982
"259",20100238,15372,2010,"10/5/2010 11:35 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","LOU-TEX PROPYLENE 10""","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPYLENE","INDIAN BAYOU","VERMILION","LA",30.11356,-92.254,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",1,0,0,1,"NO","NO","YES","10/5/2010 13:00","10/7/2010 13:30",5,0,35000,150,0,0,0,0,35150
"260",20100239,17363,2010,"10/6/2010 1:20 PM",18718,"SUNOCO PIPELINE L.P.","MARYSVILLE STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","ST. CLAIR","ST. CLAIR","MI",42.9015,-82.5101,"CORROSION","EXTERNAL",1,0,1,0,"NO","NO","NO","","",0,0,0,0,0,70000,5000,0,75000
"261",20100277,20631,2010,"10/8/2010 5:30 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","BEAUMONT TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","BEAUMONT","JEFFERSON","TX",30.0113,-94.057133,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",100,0,80,20,"NO","NO","NO","","",0,0,0,2000,0,0,260519,0,262519
"263",20110073,18054,2010,"10/11/2010 2:15 PM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","PERTH AMBOY TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PERTH AMBOY","MIDDLESEX","NJ",40.52243,-74.25384,"INCORRECT OPERATION","INCORRECT VALVE POSITION",2,0,2,0,"NO","NO","NO","","",0,0,1000,200,0,0,6000,0,7200
"264",20100241,16556,2010,"10/11/2010 4:10 PM",7063,"HARBOR PIPELINE CO","HARBOR PIPELINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","MANSFIELD TOWNSHIP","BURLINGTON     ","NJ",40.091758,-74.738542,"INCORRECT OPERATION","OTHER INCORRECT OPERATION",0,0,0,0,"YES","NO","NO","","",0,0,0,0,0,0,0,0,0
"266",20100252,15697,2010,"10/23/2010 1:00 AM",2731,"CHEVRON PIPE LINE CO","WEST TEXAS LPG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","SANTO","PALO PINTO","TX",32.6075,-98.1,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",6.2,0,0,6.2,"NO","NO","","","",0,0,0,150,0,5000,0,24000,29150
"267",20100273,18780,2010,"10/26/2010 9:30 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","CAMP STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","FOX","CARTER","OK",34.37306,-97.51083,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.48,0,0.48,0,"NO","NO","NO","","",0,0,0,50,0,0,5000,0,5050
